po_number,supplier_id,supplier_name,part_number,expected_date,received_date,qty_ordered,qty_received,inbound_lead_time_days,discrepancy_qty,warehouse_id
PO10065,SUP-001,Supplier A,CL-7781,07-06-2025,13-06-2025,296,293,6,3,WH-01
PO10066,SUP-001,Supplier A,CL-7781,29-06-2025,06-07-2025,252,236,7,16,WH-01
PO10067,SUP-002,Supplier B,CL-7781,09-10-2024,15-10-2024,329,325,6,4,WH-01
PO10068,SUP-002,Supplier B,CL-7781,13-08-2025,17-08-2025,147,142,4,5,WH-01
PO10069,SUP-003,Supplier C,CL-7781,07-06-2024,13-06-2024,289,274,6,15,WH-01
PO10070,SUP-003,Supplier C,ZX-9910,13-05-2025,14-05-2025,250,245,1,5,WH-01
PO10071,SUP-003,Supplier C,MN-5544,18-09-2024,21-09-2024,197,162,3,35,WH-01
PO10072,SUP-003,Supplier C,ZX-9910,08-08-2024,11-08-2024,395,393,3,2,WH-01
PO10073,SUP-003,Supplier C,AX-4312,31-03-2024,03-04-2024,197,166,3,31,WH-01
PO10074,SUP-001,Supplier A,AX-4312,24-09-2024,01-10-2024,357,325,7,32,WH-01
PO10075,SUP-002,Supplier B,CL-7781,06-08-2025,14-08-2025,177,139,8,38,WH-01
PO10076,SUP-001,Supplier A,BR-2208,14-06-2024,16-06-2024,178,168,2,10,WH-03
PO10077,SUP-003,Supplier C,AX-4312,11-07-2025,20-07-2025,200,170,9,30,WH-01
PO10078,SUP-003,Supplier C,MN-5544,02-09-2024,12-09-2024,148,142,10,6,WH-01
PO10079,SUP-003,Supplier C,MN-5544,13-02-2025,23-02-2025,161,160,10,1,WH-01
PO10080,SUP-003,Supplier C,AX-4312,11-11-2025,12-11-2025,353,342,1,11,WH-01
PO10081,SUP-001,Supplier A,CL-7781,09-03-2025,14-03-2025,86,55,5,31,WH-01
PO10082,SUP-002,Supplier B,CL-7781,28-08-2025,08-09-2025,58,24,11,34,WH-01
PO10083,SUP-001,Supplier A,MN-5544,25-09-2025,28-09-2025,353,338,3,15,WH-01
PO10084,SUP-003,Supplier C,MN-5544,14-07-2024,17-07-2024,201,169,3,32,WH-01
PO10085,SUP-001,Supplier A,BR-2208,25-12-2025,02-01-2026,165,155,8,10,WH-03
PO10086,SUP-001,Supplier A,MN-5544,31-03-2025,01-04-2025,153,134,1,19,WH-01
PO10087,SUP-003,Supplier C,MN-5544,19-01-2026,22-01-2026,161,137,3,24,WH-01
PO10088,SUP-002,Supplier B,BR-2208,04-08-2025,07-08-2025,202,174,3,28,WH-03
PO10089,SUP-003,Supplier C,MN-5544,02-12-2025,04-12-2025,387,386,2,1,WH-01
PO10090,SUP-003,Supplier C,BR-2208,02-09-2025,08-09-2025,212,197,6,15,WH-03
PO10091,SUP-003,Supplier C,CL-7781,07-10-2024,16-10-2024,210,207,9,3,WH-01
PO10092,SUP-003,Supplier C,BR-2208,13-05-2025,14-05-2025,326,307,1,19,WH-03
PO10093,SUP-002,Supplier B,MN-5544,21-09-2024,29-09-2024,184,182,8,2,WH-01
PO10094,SUP-002,Supplier B,CL-7781,28-02-2026,01-03-2026,177,145,1,32,WH-01
PO10095,SUP-003,Supplier C,ZX-9910,03-07-2025,14-07-2025,71,42,11,29,WH-01
PO10096,SUP-001,Supplier A,CL-7781,13-10-2024,19-10-2024,279,272,6,7,WH-01
PO10097,SUP-001,Supplier A,BR-2208,21-08-2025,01-09-2025,76,43,11,33,WH-03
PO10098,SUP-002,Supplier B,ZX-9910,13-06-2024,18-06-2024,335,303,5,32,WH-01
PO10099,SUP-001,Supplier A,CL-7781,26-05-2025,27-05-2025,366,348,1,18,WH-01
PO10100,SUP-003,Supplier C,ZX-9910,24-03-2025,28-03-2025,84,68,4,16,WH-01
PO10101,SUP-002,Supplier B,ZX-9910,12-11-2025,17-11-2025,55,21,5,34,WH-01
PO10102,SUP-001,Supplier A,AX-4312,10-10-2024,19-10-2024,86,63,9,23,WH-01
PO10103,SUP-001,Supplier A,CL-7781,12-12-2024,13-12-2024,351,321,1,30,WH-01
PO10104,SUP-001,Supplier A,ZX-9910,23-09-2024,26-09-2024,237,205,3,32,WH-01
PO10105,SUP-003,Supplier C,ZX-9910,21-10-2025,25-10-2025,240,220,4,20,WH-01
PO10106,SUP-003,Supplier C,ZX-9910,09-10-2025,16-10-2025,210,208,7,2,WH-01
PO10107,SUP-003,Supplier C,MN-5544,08-04-2025,10-04-2025,330,300,2,30,WH-01
PO10108,SUP-002,Supplier B,AX-4312,06-07-2025,12-07-2025,107,105,6,2,WH-01
PO10109,SUP-002,Supplier B,MN-5544,23-02-2025,03-03-2025,223,200,8,23,WH-01
PO10110,SUP-002,Supplier B,MN-5544,29-07-2024,31-07-2024,337,316,2,21,WH-01
PO10111,SUP-002,Supplier B,BR-2208,24-02-2025,03-03-2025,176,150,7,26,WH-03
PO10112,SUP-002,Supplier B,AX-4312,23-04-2025,03-05-2025,322,283,10,39,WH-01
PO10113,SUP-002,Supplier B,BR-2208,12-03-2024,13-03-2024,348,310,1,38,WH-03
PO10114,SUP-001,Supplier A,BR-2208,07-08-2024,17-08-2024,296,271,10,25,WH-03
PO10115,SUP-001,Supplier A,ZX-9910,13-03-2025,16-03-2025,355,331,3,24,WH-01
PO10116,SUP-001,Supplier A,MN-5544,16-01-2025,24-01-2025,62,56,8,6,WH-01
PO10117,SUP-001,Supplier A,MN-5544,16-01-2025,25-01-2025,85,66,9,19,WH-01
PO10118,SUP-001,Supplier A,ZX-9910,30-06-2024,01-07-2024,313,298,1,15,WH-01
PO10119,SUP-001,Supplier A,MN-5544,02-11-2025,05-11-2025,192,165,3,27,WH-01
PO10120,SUP-002,Supplier B,ZX-9910,11-09-2025,13-09-2025,371,340,2,31,WH-01
PO10121,SUP-001,Supplier A,ZX-9910,26-07-2025,02-08-2025,391,367,7,24,WH-01
PO10122,SUP-003,Supplier C,AX-4312,07-04-2024,17-04-2024,112,91,10,21,WH-01
PO10123,SUP-001,Supplier A,AX-4312,17-10-2024,27-10-2024,107,86,10,21,WH-01
PO10124,SUP-002,Supplier B,AX-4312,13-02-2026,14-02-2026,229,224,1,5,WH-01
PO10125,SUP-003,Supplier C,ZX-9910,23-05-2024,29-05-2024,150,118,6,32,WH-01
PO10126,SUP-001,Supplier A,MN-5544,29-11-2024,07-12-2024,102,98,8,4,WH-01
PO10127,SUP-001,Supplier A,CL-7781,12-08-2025,19-08-2025,245,240,7,5,WH-01
PO10128,SUP-001,Supplier A,ZX-9910,19-06-2024,23-06-2024,399,365,4,34,WH-01
PO10129,SUP-001,Supplier A,ZX-9910,04-08-2024,11-08-2024,357,342,7,15,WH-01
PO10130,SUP-003,Supplier C,BR-2208,03-06-2025,05-06-2025,173,144,2,29,WH-03
PO10131,SUP-001,Supplier A,MN-5544,13-03-2024,16-03-2024,194,176,3,18,WH-01
PO10132,SUP-001,Supplier A,BR-2208,03-11-2025,13-11-2025,395,359,10,36,WH-03
PO10133,SUP-002,Supplier B,MN-5544,26-08-2025,05-09-2025,166,144,10,22,WH-01
PO10134,SUP-001,Supplier A,MN-5544,04-06-2024,13-06-2024,178,178,9,0,WH-01
PO10135,SUP-003,Supplier C,MN-5544,29-12-2024,31-12-2024,145,121,2,24,WH-01
PO10136,SUP-003,Supplier C,ZX-9910,22-01-2026,30-01-2026,286,286,8,0,WH-01
PO10137,SUP-003,Supplier C,AX-4312,20-02-2026,27-02-2026,241,237,7,4,WH-01
PO10138,SUP-002,Supplier B,AX-4312,08-11-2024,14-11-2024,398,396,6,2,WH-01
PO10139,SUP-003,Supplier C,AX-4312,06-07-2025,16-07-2025,193,157,10,36,WH-01
PO10140,SUP-002,Supplier B,ZX-9910,28-01-2025,03-02-2025,234,206,6,28,WH-01
PO10141,SUP-002,Supplier B,ZX-9910,06-06-2024,11-06-2024,96,67,5,29,WH-01
PO10142,SUP-003,Supplier C,CL-7781,12-09-2024,16-09-2024,253,238,4,15,WH-01
PO10143,SUP-001,Supplier A,AX-4312,23-06-2024,03-07-2024,390,352,10,38,WH-01
PO10144,SUP-001,Supplier A,ZX-9910,27-03-2025,31-03-2025,338,309,4,29,WH-01
PO10145,SUP-003,Supplier C,ZX-9910,20-12-2025,25-12-2025,72,63,5,9,WH-01
PO10146,SUP-002,Supplier B,AX-4312,09-07-2024,15-07-2024,374,339,6,35,WH-01
PO10147,SUP-003,Supplier C,BR-2208,25-02-2025,27-02-2025,229,199,2,30,WH-03
PO10148,SUP-002,Supplier B,CL-7781,10-01-2025,20-01-2025,299,281,10,18,WH-01
PO10149,SUP-003,Supplier C,CL-7781,24-07-2024,03-08-2024,145,145,10,0,WH-01
PO10150,SUP-001,Supplier A,AX-4312,10-05-2025,18-05-2025,374,371,8,3,WH-01
PO10151,SUP-001,Supplier A,AX-4312,22-04-2025,30-04-2025,385,384,8,1,WH-01
PO10152,SUP-001,Supplier A,CL-7781,20-07-2024,21-07-2024,209,183,1,26,WH-01
PO10153,SUP-003,Supplier C,AX-4312,27-02-2025,03-03-2025,201,190,4,11,WH-01
PO10154,SUP-002,Supplier B,AX-4312,02-10-2024,04-10-2024,212,180,2,32,WH-01
PO10155,SUP-002,Supplier B,CL-7781,28-03-2024,29-03-2024,228,192,1,36,WH-01
PO10156,SUP-002,Supplier B,AX-4312,10-04-2024,13-04-2024,114,82,3,32,WH-01
PO10157,SUP-001,Supplier A,CL-7781,05-10-2024,13-10-2024,379,351,8,28,WH-01
PO10158,SUP-002,Supplier B,AX-4312,26-12-2025,28-12-2025,302,268,2,34,WH-01
PO10159,SUP-002,Supplier B,BR-2208,26-11-2025,03-12-2025,386,361,7,25,WH-03
PO10160,SUP-002,Supplier B,AX-4312,26-10-2024,03-11-2024,142,117,8,25,WH-01
PO10161,SUP-003,Supplier C,CL-7781,16-07-2024,26-07-2024,139,106,10,33,WH-01
PO10162,SUP-001,Supplier A,AX-4312,09-01-2025,12-01-2025,154,148,3,6,WH-01
PO10163,SUP-002,Supplier B,AX-4312,22-01-2025,26-01-2025,363,353,4,10,WH-01
PO10164,SUP-003,Supplier C,BR-2208,03-06-2025,11-06-2025,266,246,8,20,WH-03
PO10165,SUP-002,Supplier B,MN-5544,04-02-2025,13-02-2025,213,204,9,9,WH-01
PO10166,SUP-002,Supplier B,ZX-9910,07-03-2024,12-03-2024,241,207,5,34,WH-01
PO10167,SUP-002,Supplier B,CL-7781,08-11-2025,09-11-2025,148,113,1,35,WH-01
PO10168,SUP-001,Supplier A,AX-4312,21-10-2024,23-10-2024,145,122,2,23,WH-01
PO10169,SUP-003,Supplier C,BR-2208,03-04-2025,10-04-2025,239,208,7,31,WH-03
PO10170,SUP-001,Supplier A,AX-4312,28-09-2024,03-10-2024,317,305,5,12,WH-01
PO10171,SUP-003,Supplier C,CL-7781,11-02-2026,18-02-2026,266,232,7,34,WH-01
PO10172,SUP-003,Supplier C,CL-7781,04-12-2024,13-12-2024,335,319,9,16,WH-01
PO10173,SUP-003,Supplier C,AX-4312,15-05-2024,16-05-2024,111,92,1,19,WH-01
PO10174,SUP-001,Supplier A,BR-2208,15-01-2026,24-01-2026,391,379,9,12,WH-03
PO10175,SUP-001,Supplier A,AX-4312,21-01-2025,01-02-2025,68,33,11,35,WH-01
PO10176,SUP-001,Supplier A,CL-7781,11-04-2024,20-04-2024,125,117,9,8,WH-01
PO10177,SUP-001,Supplier A,CL-7781,21-11-2024,28-11-2024,333,320,7,13,WH-01
PO10178,SUP-003,Supplier C,BR-2208,21-01-2025,25-01-2025,388,373,4,15,WH-03
PO10179,SUP-003,Supplier C,MN-5544,25-05-2025,30-05-2025,118,84,5,34,WH-01
PO10180,SUP-002,Supplier B,CL-7781,23-11-2025,02-12-2025,102,80,9,22,WH-01
PO10181,SUP-001,Supplier A,ZX-9910,27-01-2025,05-02-2025,88,50,9,38,WH-01
PO10182,SUP-003,Supplier C,ZX-9910,19-12-2024,29-12-2024,182,148,10,34,WH-01
PO10183,SUP-002,Supplier B,CL-7781,20-12-2024,27-12-2024,270,260,7,10,WH-01
PO10184,SUP-002,Supplier B,BR-2208,23-01-2026,25-01-2026,288,277,2,11,WH-03
PO10185,SUP-001,Supplier A,ZX-9910,17-06-2024,26-06-2024,123,107,9,16,WH-01
PO10186,SUP-002,Supplier B,MN-5544,28-11-2024,04-12-2024,56,44,6,12,WH-01
PO10187,SUP-002,Supplier B,BR-2208,24-04-2024,02-05-2024,219,211,8,8,WH-03
PO10188,SUP-002,Supplier B,CL-7781,06-08-2024,08-08-2024,332,331,2,1,WH-01
PO10189,SUP-003,Supplier C,BR-2208,04-03-2025,09-03-2025,78,42,5,36,WH-03
PO10190,SUP-002,Supplier B,CL-7781,01-10-2024,07-10-2024,388,381,6,7,WH-01
PO10191,SUP-002,Supplier B,CL-7781,01-12-2024,02-12-2024,391,375,1,16,WH-01
PO10192,SUP-001,Supplier A,MN-5544,07-05-2025,14-05-2025,266,263,7,3,WH-01
PO10193,SUP-002,Supplier B,ZX-9910,02-04-2025,06-04-2025,119,89,4,30,WH-01
PO10194,SUP-002,Supplier B,AX-4312,18-11-2024,21-11-2024,231,193,3,38,WH-01
PO10195,SUP-001,Supplier A,CL-7781,03-09-2024,14-09-2024,251,226,11,25,WH-01
PO10196,SUP-001,Supplier A,MN-5544,04-03-2025,07-03-2025,88,86,3,2,WH-01
PO10197,SUP-002,Supplier B,ZX-9910,15-06-2024,17-06-2024,269,250,2,19,WH-01
PO10198,SUP-002,Supplier B,MN-5544,31-10-2025,08-11-2025,366,328,8,38,WH-01
PO10199,SUP-001,Supplier A,ZX-9910,16-09-2024,17-09-2024,397,373,1,24,WH-01
PO10200,SUP-003,Supplier C,BR-2208,17-09-2024,25-09-2024,166,161,8,5,WH-03
PO10201,SUP-002,Supplier B,MN-5544,10-07-2024,20-07-2024,93,62,10,31,WH-01
PO10202,SUP-001,Supplier A,ZX-9910,11-11-2025,16-11-2025,129,109,5,20,WH-01
PO10203,SUP-003,Supplier C,ZX-9910,25-08-2024,05-09-2024,301,265,11,36,WH-01
PO10204,SUP-001,Supplier A,MN-5544,11-06-2024,15-06-2024,276,258,4,18,WH-01
PO10205,SUP-003,Supplier C,ZX-9910,01-06-2024,05-06-2024,96,83,4,13,WH-01
PO10206,SUP-003,Supplier C,BR-2208,05-04-2025,06-04-2025,103,101,1,2,WH-03
PO10207,SUP-003,Supplier C,ZX-9910,26-06-2024,03-07-2024,61,52,7,9,WH-01
PO10208,SUP-001,Supplier A,BR-2208,29-04-2025,07-05-2025,205,198,8,7,WH-03
PO10209,SUP-003,Supplier C,BR-2208,27-08-2025,06-09-2025,397,362,10,35,WH-03
PO10210,SUP-002,Supplier B,AX-4312,10-10-2024,20-10-2024,185,158,10,27,WH-01
PO10211,SUP-003,Supplier C,AX-4312,26-08-2025,31-08-2025,90,55,5,35,WH-01
PO10212,SUP-002,Supplier B,CL-7781,06-05-2024,17-05-2024,194,186,11,8,WH-01
PO10213,SUP-003,Supplier C,CL-7781,27-09-2024,28-09-2024,261,249,1,12,WH-01
PO10214,SUP-001,Supplier A,AX-4312,03-03-2025,06-03-2025,302,297,3,5,WH-01
PO10215,SUP-001,Supplier A,ZX-9910,25-11-2025,27-11-2025,305,301,2,4,WH-01
PO10216,SUP-002,Supplier B,BR-2208,28-02-2026,09-03-2026,59,30,9,29,WH-03
PO10217,SUP-003,Supplier C,ZX-9910,04-07-2025,06-07-2025,300,296,2,4,WH-01
PO10218,SUP-003,Supplier C,BR-2208,28-12-2024,04-01-2025,338,338,7,0,WH-03
PO10219,SUP-003,Supplier C,BR-2208,13-10-2024,15-10-2024,273,263,2,10,WH-03
PO10220,SUP-001,Supplier A,CL-7781,18-12-2024,23-12-2024,331,307,5,24,WH-01
PO10221,SUP-003,Supplier C,ZX-9910,15-09-2024,21-09-2024,364,338,6,26,WH-01
PO10222,SUP-002,Supplier B,ZX-9910,30-08-2025,31-08-2025,147,113,1,34,WH-01
PO10223,SUP-002,Supplier B,BR-2208,18-11-2025,19-11-2025,360,355,1,5,WH-03
PO10224,SUP-002,Supplier B,MN-5544,13-11-2025,14-11-2025,246,216,1,30,WH-01
PO10225,SUP-003,Supplier C,AX-4312,10-09-2024,15-09-2024,308,286,5,22,WH-01
PO10226,SUP-001,Supplier A,MN-5544,22-08-2025,27-08-2025,102,66,5,36,WH-01
PO10227,SUP-001,Supplier A,MN-5544,12-12-2024,22-12-2024,132,116,10,16,WH-01
PO10228,SUP-003,Supplier C,CL-7781,19-09-2024,24-09-2024,127,119,5,8,WH-01
PO10229,SUP-002,Supplier B,BR-2208,09-12-2024,10-12-2024,100,88,1,12,WH-03
PO10230,SUP-003,Supplier C,BR-2208,30-12-2024,03-01-2025,337,304,4,33,WH-03
PO10231,SUP-001,Supplier A,MN-5544,28-04-2024,06-05-2024,88,63,8,25,WH-01
PO10232,SUP-002,Supplier B,CL-7781,30-08-2024,09-09-2024,211,209,10,2,WH-01
PO10233,SUP-002,Supplier B,CL-7781,08-08-2024,19-08-2024,355,344,11,11,WH-01
PO10234,SUP-003,Supplier C,AX-4312,15-05-2024,16-05-2024,103,99,1,4,WH-01
PO10235,SUP-001,Supplier A,AX-4312,24-01-2025,04-02-2025,362,346,11,16,WH-01
PO10236,SUP-002,Supplier B,CL-7781,03-01-2025,10-01-2025,256,220,7,36,WH-01
PO10237,SUP-001,Supplier A,AX-4312,10-04-2024,15-04-2024,115,105,5,10,WH-01
PO10238,SUP-001,Supplier A,ZX-9910,20-08-2025,23-08-2025,152,115,3,37,WH-01
PO10239,SUP-001,Supplier A,BR-2208,25-12-2025,27-12-2025,343,310,2,33,WH-03
PO10240,SUP-001,Supplier A,MN-5544,05-08-2024,07-08-2024,335,321,2,14,WH-01
PO10241,SUP-001,Supplier A,AX-4312,15-04-2025,26-04-2025,357,320,11,37,WH-01
PO10242,SUP-002,Supplier B,MN-5544,19-12-2024,20-12-2024,384,355,1,29,WH-01
PO10243,SUP-003,Supplier C,CL-7781,10-09-2024,17-09-2024,155,139,7,16,WH-01
PO10244,SUP-001,Supplier A,BR-2208,05-10-2025,10-10-2025,334,331,5,3,WH-03
PO10245,SUP-001,Supplier A,MN-5544,10-01-2025,20-01-2025,233,217,10,16,WH-01
PO10246,SUP-001,Supplier A,MN-5544,29-01-2026,08-02-2026,322,303,10,19,WH-01
PO10247,SUP-002,Supplier B,MN-5544,15-11-2024,23-11-2024,118,85,8,33,WH-01
PO10248,SUP-003,Supplier C,AX-4312,29-10-2025,04-11-2025,102,101,6,1,WH-01
PO10249,SUP-002,Supplier B,BR-2208,25-06-2025,06-07-2025,92,82,11,10,WH-03
PO10250,SUP-003,Supplier C,BR-2208,19-10-2024,22-10-2024,160,138,3,22,WH-03
PO10251,SUP-003,Supplier C,MN-5544,27-06-2024,04-07-2024,385,355,7,30,WH-01
PO10252,SUP-001,Supplier A,ZX-9910,14-10-2025,25-10-2025,57,54,11,3,WH-01
PO10253,SUP-002,Supplier B,BR-2208,01-07-2024,09-07-2024,233,209,8,24,WH-03
PO10254,SUP-001,Supplier A,MN-5544,30-08-2024,02-09-2024,244,218,3,26,WH-01
PO10255,SUP-001,Supplier A,AX-4312,17-02-2025,19-02-2025,110,92,2,18,WH-01
PO10256,SUP-001,Supplier A,BR-2208,17-02-2026,22-02-2026,54,37,5,17,WH-02
PO10257,SUP-001,Supplier A,BR-2208,27-08-2024,06-09-2024,366,345,10,21,WH-03
PO10258,SUP-002,Supplier B,BR-2208,24-01-2025,29-01-2025,375,375,5,0,WH-03
PO10259,SUP-001,Supplier A,BR-2208,15-06-2025,20-06-2025,282,271,5,11,WH-03
PO10260,SUP-003,Supplier C,MN-5544,10-09-2024,20-09-2024,95,62,10,33,WH-01
PO10261,SUP-002,Supplier B,BR-2208,27-10-2025,28-10-2025,127,102,1,25,WH-03
PO10262,SUP-003,Supplier C,ZX-9910,30-08-2024,10-09-2024,122,97,11,25,WH-01
PO10263,SUP-002,Supplier B,CL-7781,28-09-2024,07-10-2024,96,75,9,21,WH-01
PO10264,SUP-003,Supplier C,ZX-9910,08-04-2024,16-04-2024,399,383,8,16,WH-01
PO10265,SUP-001,Supplier A,BR-2208,11-07-2025,21-07-2025,341,341,10,0,WH-03
PO10266,SUP-002,Supplier B,MN-5544,05-09-2024,13-09-2024,162,128,8,34,WH-01
PO10267,SUP-002,Supplier B,MN-5544,21-03-2024,25-03-2024,256,235,4,21,WH-01
PO10268,SUP-003,Supplier C,ZX-9910,17-06-2025,27-06-2025,77,55,10,22,WH-01
PO10269,SUP-002,Supplier B,ZX-9910,14-11-2024,22-11-2024,203,190,8,13,WH-01
PO10270,SUP-001,Supplier A,ZX-9910,13-03-2025,24-03-2025,361,355,11,6,WH-01
PO10271,SUP-001,Supplier A,CL-7781,17-08-2025,20-08-2025,160,138,3,22,WH-01
PO10272,SUP-002,Supplier B,ZX-9910,29-05-2025,09-06-2025,288,271,11,17,WH-01
PO10273,SUP-003,Supplier C,ZX-9910,26-08-2025,05-09-2025,343,309,10,34,WH-01
PO10274,SUP-002,Supplier B,ZX-9910,23-05-2024,26-05-2024,64,40,3,24,WH-01
PO10275,SUP-002,Supplier B,MN-5544,11-05-2024,18-05-2024,77,68,7,9,WH-01
