order_number,customer_id,customer_name,part_number,order_date,promise_date,shipped_date,qty_ordered,qty_shipped,backorder_qty,otif_flag,fill_rate,warehouse_id
SO20044,CUST-001,Customer X,AX-4312,27-12-2024,30-12-2024,01-01-2025,26,26,0,0,1,WH-01
SO20045,CUST-003,Customer Z,CL-7781,19-12-2025,23-12-2025,22-12-2025,18,16,2,0,0.8888888888888888,WH-01
SO20046,CUST-001,Customer X,MN-5544,23-07-2025,24-07-2025,24-07-2025,34,30,4,0,0.8823529411764706,WH-01
SO20047,CUST-003,Customer Z,CL-7781,25-12-2024,29-12-2024,28-12-2024,36,33,3,0,0.9166666666666666,WH-01
SO20048,CUST-003,Customer Z,MN-5544,18-06-2024,21-06-2024,20-06-2024,15,12,3,0,0.8,WH-01
SO20049,CUST-003,Customer Z,BR-2208,11-03-2024,15-03-2024,17-03-2024,31,24,7,0,0.7741935483870968,WH-03
SO20050,CUST-003,Customer Z,AX-4312,21-08-2024,23-08-2024,24-08-2024,34,30,4,0,0.8823529411764706,WH-01
SO20051,CUST-001,Customer X,ZX-9910,27-04-2024,01-05-2024,03-05-2024,8,0,8,0,0,WH-01
SO20052,CUST-002,Customer Y,MN-5544,26-10-2024,30-10-2024,01-11-2024,13,4,9,0,0.3076923076923077,WH-01
SO20053,CUST-003,Customer Z,MN-5544,08-04-2025,10-04-2025,10-04-2025,17,11,6,0,0.6470588235294118,WH-01
SO20054,CUST-002,Customer Y,AX-4312,04-04-2025,08-04-2025,08-04-2025,23,16,7,0,0.6956521739130435,WH-01
SO20055,CUST-002,Customer Y,BR-2208,21-10-2025,24-10-2025,23-10-2025,17,8,9,0,0.4705882352941176,WH-03
SO20056,CUST-003,Customer Z,AX-4312,18-05-2024,22-05-2024,21-05-2024,6,0,6,0,0,WH-01
SO20057,CUST-001,Customer X,BR-2208,21-04-2025,23-04-2025,23-04-2025,17,8,9,0,0.4705882352941176,WH-03
SO20058,CUST-001,Customer X,MN-5544,12-11-2024,13-11-2024,12-11-2024,18,15,3,0,0.8333333333333334,WH-01
SO20059,CUST-003,Customer Z,MN-5544,20-03-2024,23-03-2024,25-03-2024,37,37,0,0,1,WH-01
SO20060,CUST-002,Customer Y,ZX-9910,07-03-2025,11-03-2025,11-03-2025,17,16,1,0,0.9411764705882352,WH-01
SO20061,CUST-003,Customer Z,BR-2208,16-06-2025,17-06-2025,19-06-2025,12,9,3,0,0.75,WH-03
SO20062,CUST-002,Customer Y,BR-2208,09-03-2024,12-03-2024,11-03-2024,16,13,3,0,0.8125,WH-03
SO20063,CUST-002,Customer Y,BR-2208,07-09-2024,11-09-2024,11-09-2024,20,16,4,0,0.8,WH-03
SO20064,CUST-003,Customer Z,CL-7781,28-09-2024,29-09-2024,30-09-2024,37,36,1,0,0.972972973,WH-01
SO20065,CUST-001,Customer X,MN-5544,31-07-2024,03-08-2024,05-08-2024,27,27,0,0,1,WH-01
SO20066,CUST-001,Customer X,MN-5544,12-05-2025,13-05-2025,13-05-2025,19,13,6,0,0.6842105263157895,WH-01
SO20067,CUST-003,Customer Z,AX-4312,25-11-2025,28-11-2025,30-11-2025,15,7,8,0,0.4666666666666667,WH-01
SO20068,CUST-001,Customer X,CL-7781,21-02-2026,25-02-2026,25-02-2026,28,20,8,0,0.7142857142857143,WH-01
SO20069,CUST-003,Customer Z,MN-5544,30-05-2024,02-06-2024,02-06-2024,26,23,3,0,0.8846153846153846,WH-02
SO20070,CUST-002,Customer Y,CL-7781,24-08-2024,25-08-2024,27-08-2024,29,21,8,0,0.7241379310344828,WH-01
SO20071,CUST-003,Customer Z,AX-4312,25-05-2024,27-05-2024,26-05-2024,27,23,4,0,0.8518518518518519,WH-01
SO20072,CUST-002,Customer Y,AX-4312,31-05-2024,03-06-2024,02-06-2024,29,22,7,0,0.7586206896551724,WH-01
SO20073,CUST-003,Customer Z,CL-7781,07-03-2024,11-03-2024,11-03-2024,19,19,0,1,1,WH-01
SO20074,CUST-001,Customer X,BR-2208,11-07-2024,13-07-2024,14-07-2024,18,15,3,0,0.8333333333333334,WH-03
SO20075,CUST-003,Customer Z,MN-5544,23-04-2024,25-04-2024,26-04-2024,22,20,2,0,0.9090909090909092,WH-01
SO20076,CUST-001,Customer X,ZX-9910,28-07-2025,30-07-2025,29-07-2025,5,0,5,0,0,WH-01
SO20077,CUST-003,Customer Z,ZX-9910,21-11-2024,24-11-2024,25-11-2024,9,3,6,0,0.3333333333333333,WH-01
SO20078,CUST-003,Customer Z,CL-7781,18-09-2024,21-09-2024,20-09-2024,33,31,2,0,0.9393939393939394,WH-01
SO20079,CUST-002,Customer Y,AX-4312,27-05-2024,30-05-2024,29-05-2024,16,13,3,0,0.8125,WH-01
SO20080,CUST-002,Customer Y,BR-2208,05-11-2024,06-11-2024,07-11-2024,13,4,9,0,0.3076923076923077,WH-03
SO20081,CUST-001,Customer X,BR-2208,21-03-2024,22-03-2024,23-03-2024,30,29,1,0,0.9666666666666668,WH-03
SO20082,CUST-003,Customer Z,ZX-9910,23-12-2024,26-12-2024,27-12-2024,25,17,8,0,0.68,WH-01
SO20083,CUST-003,Customer Z,BR-2208,08-07-2024,09-07-2024,11-07-2024,31,29,2,0,0.935483871,WH-03
SO20084,CUST-003,Customer Z,AX-4312,10-12-2024,14-12-2024,16-12-2024,21,16,5,0,0.7619047619047619,WH-01
SO20085,CUST-001,Customer X,ZX-9910,09-08-2025,13-08-2025,12-08-2025,22,20,2,0,0.9090909090909092,WH-01
SO20086,CUST-001,Customer X,MN-5544,06-01-2025,07-01-2025,06-01-2025,19,16,3,0,0.8421052631578947,WH-01
SO20087,CUST-002,Customer Y,CL-7781,14-07-2024,15-07-2024,17-07-2024,14,11,3,0,0.7857142857142857,WH-02
SO20088,CUST-002,Customer Y,AX-4312,10-01-2026,14-01-2026,14-01-2026,15,14,1,0,0.9333333333333332,WH-01
SO20089,CUST-003,Customer Z,ZX-9910,04-05-2024,06-05-2024,08-05-2024,24,16,8,0,0.6666666666666666,WH-01
SO20090,CUST-002,Customer Y,MN-5544,19-06-2024,23-06-2024,22-06-2024,29,21,8,0,0.7241379310344828,WH-01
SO20091,CUST-001,Customer X,MN-5544,10-02-2026,12-02-2026,12-02-2026,29,27,2,0,0.9310344827586208,WH-01
SO20092,CUST-002,Customer Y,BR-2208,08-02-2026,12-02-2026,14-02-2026,18,18,0,0,1,WH-03
SO20093,CUST-001,Customer X,ZX-9910,10-06-2024,11-06-2024,10-06-2024,12,8,4,0,0.6666666666666666,WH-01
SO20094,CUST-001,Customer X,CL-7781,28-07-2024,29-07-2024,28-07-2024,39,37,2,0,0.9487179487179488,WH-01
SO20095,CUST-003,Customer Z,BR-2208,03-08-2025,06-08-2025,05-08-2025,34,33,1,0,0.9705882352941176,WH-03
SO20096,CUST-001,Customer X,CL-7781,16-04-2024,20-04-2024,19-04-2024,6,6,0,1,1,WH-01
SO20097,CUST-003,Customer Z,AX-4312,03-07-2024,05-07-2024,05-07-2024,29,20,9,0,0.6896551724137931,WH-01
SO20098,CUST-001,Customer X,MN-5544,06-06-2024,09-06-2024,11-06-2024,20,13,7,0,0.65,WH-01
SO20099,CUST-001,Customer X,MN-5544,12-01-2026,15-01-2026,16-01-2026,19,17,2,0,0.8947368421052632,WH-01
SO20100,CUST-001,Customer X,ZX-9910,25-11-2024,29-11-2024,29-11-2024,6,0,6,0,0,WH-01
SO20101,CUST-001,Customer X,BR-2208,02-05-2024,05-05-2024,06-05-2024,12,6,6,0,0.5,WH-03
SO20102,CUST-002,Customer Y,ZX-9910,29-05-2024,02-06-2024,02-06-2024,33,33,0,1,1,WH-01
SO20103,CUST-003,Customer Z,CL-7781,19-02-2025,23-02-2025,25-02-2025,36,36,0,0,1,WH-01
SO20104,CUST-002,Customer Y,MN-5544,07-10-2024,08-10-2024,08-10-2024,21,15,6,0,0.7142857142857143,WH-01
SO20105,CUST-001,Customer X,ZX-9910,03-11-2025,06-11-2025,08-11-2025,36,33,3,0,0.9166666666666666,WH-01
SO20106,CUST-002,Customer Y,CL-7781,01-11-2025,04-11-2025,03-11-2025,6,4,2,0,0.6666666666666666,WH-01
SO20107,CUST-002,Customer Y,MN-5544,12-12-2024,16-12-2024,15-12-2024,28,23,5,0,0.8214285714285714,WH-01
SO20108,CUST-003,Customer Z,CL-7781,08-12-2024,11-12-2024,11-12-2024,31,23,8,0,0.7419354838709677,WH-01
SO20109,CUST-002,Customer Y,BR-2208,25-06-2024,29-06-2024,01-07-2024,32,32,0,0,1,WH-03
SO20110,CUST-003,Customer Z,BR-2208,23-08-2024,24-08-2024,25-08-2024,14,10,4,0,0.7142857142857143,WH-03
SO20111,CUST-001,Customer X,CL-7781,16-10-2025,18-10-2025,17-10-2025,22,17,5,0,0.7727272727272727,WH-01
SO20112,CUST-001,Customer X,ZX-9910,04-09-2025,07-09-2025,06-09-2025,10,3,7,0,0.3,WH-01
SO20113,CUST-003,Customer Z,AX-4312,15-06-2024,19-06-2024,18-06-2024,18,12,6,0,0.6666666666666666,WH-01
SO20114,CUST-001,Customer X,ZX-9910,12-02-2026,14-02-2026,14-02-2026,24,18,6,0,0.75,WH-01
SO20115,CUST-003,Customer Z,CL-7781,03-10-2024,05-10-2024,04-10-2024,14,5,9,0,0.3571428571428571,WH-01
SO20116,CUST-002,Customer Y,BR-2208,26-04-2025,30-04-2025,29-04-2025,32,28,4,0,0.875,WH-03
SO20117,CUST-003,Customer Z,CL-7781,02-05-2024,05-05-2024,06-05-2024,19,15,4,0,0.7894736842105263,WH-01
SO20118,CUST-003,Customer Z,BR-2208,16-07-2024,20-07-2024,19-07-2024,16,13,3,0,0.8125,WH-03
SO20119,CUST-003,Customer Z,ZX-9910,27-02-2026,02-03-2026,01-03-2026,32,26,6,0,0.8125,WH-01
SO20120,CUST-003,Customer Z,AX-4312,01-11-2024,04-11-2024,03-11-2024,26,19,7,0,0.7307692307692307,WH-02
SO20121,CUST-002,Customer Y,ZX-9910,21-04-2024,24-04-2024,24-04-2024,30,30,0,1,1,WH-01
SO20122,CUST-003,Customer Z,BR-2208,26-06-2024,30-06-2024,30-06-2024,22,16,6,0,0.7272727272727273,WH-03
SO20123,CUST-001,Customer X,ZX-9910,10-06-2024,12-06-2024,12-06-2024,12,7,5,0,0.5833333333333334,WH-01
SO20124,CUST-001,Customer X,BR-2208,07-02-2026,09-02-2026,10-02-2026,27,22,5,0,0.8148148148148148,WH-03
SO20125,CUST-002,Customer Y,BR-2208,15-07-2025,17-07-2025,18-07-2025,13,7,6,0,0.5384615384615384,WH-03
SO20126,CUST-001,Customer X,MN-5544,08-09-2024,09-09-2024,08-09-2024,7,5,2,0,0.7142857142857143,WH-01
SO20127,CUST-001,Customer X,ZX-9910,26-02-2026,27-02-2026,26-02-2026,35,32,3,0,0.9142857142857144,WH-01
SO20128,CUST-002,Customer Y,ZX-9910,30-03-2024,01-04-2024,03-04-2024,39,32,7,0,0.8205128205128205,WH-01
SO20129,CUST-001,Customer X,MN-5544,14-02-2025,18-02-2025,18-02-2025,25,25,0,1,1,WH-01
SO20130,CUST-003,Customer Z,MN-5544,19-01-2026,23-01-2026,25-01-2026,23,23,0,0,1,WH-01
SO20131,CUST-001,Customer X,CL-7781,31-12-2025,04-01-2026,05-01-2026,25,20,5,0,0.8,WH-01
SO20132,CUST-001,Customer X,CL-7781,03-12-2025,05-12-2025,07-12-2025,19,17,2,0,0.8947368421052632,WH-01
SO20133,CUST-003,Customer Z,MN-5544,01-01-2026,04-01-2026,04-01-2026,19,14,5,0,0.7368421052631579,WH-01
SO20134,CUST-001,Customer X,MN-5544,18-01-2025,22-01-2025,21-01-2025,24,23,1,0,0.9583333333333334,WH-01
SO20135,CUST-001,Customer X,AX-4312,07-12-2025,09-12-2025,09-12-2025,22,16,6,0,0.7272727272727273,WH-01
SO20136,CUST-002,Customer Y,MN-5544,12-04-2025,15-04-2025,14-04-2025,36,32,4,0,0.8888888888888888,WH-01
SO20137,CUST-001,Customer X,MN-5544,17-07-2025,21-07-2025,22-07-2025,10,1,9,0,0.1,WH-01
SO20138,CUST-001,Customer X,CL-7781,18-08-2025,22-08-2025,21-08-2025,17,15,2,0,0.8823529411764706,WH-01
SO20139,CUST-002,Customer Y,CL-7781,14-05-2025,17-05-2025,16-05-2025,31,22,9,0,0.7096774193548387,WH-02
SO20140,CUST-001,Customer X,BR-2208,29-07-2025,01-08-2025,03-08-2025,30,23,7,0,0.7666666666666667,WH-03
SO20141,CUST-003,Customer Z,AX-4312,19-09-2024,21-09-2024,23-09-2024,33,33,0,0,1,WH-01
SO20142,CUST-003,Customer Z,BR-2208,17-01-2026,21-01-2026,23-01-2026,33,30,3,0,0.9090909090909092,WH-03
SO20143,CUST-003,Customer Z,MN-5544,09-07-2025,11-07-2025,10-07-2025,35,33,2,0,0.9428571428571428,WH-01
SO20144,CUST-003,Customer Z,BR-2208,21-12-2024,24-12-2024,24-12-2024,29,29,0,1,1,WH-03
SO20145,CUST-003,Customer Z,BR-2208,15-01-2026,17-01-2026,17-01-2026,12,10,2,0,0.8333333333333334,WH-03
SO20146,CUST-002,Customer Y,CL-7781,07-03-2024,10-03-2024,09-03-2024,22,17,5,0,0.7727272727272727,WH-01
SO20147,CUST-001,Customer X,ZX-9910,09-04-2025,10-04-2025,09-04-2025,7,1,6,0,0.1428571428571428,WH-01
SO20148,CUST-002,Customer Y,CL-7781,20-12-2024,24-12-2024,23-12-2024,19,12,7,0,0.631578947,WH-01
SO20149,CUST-002,Customer Y,CL-7781,04-04-2024,06-04-2024,06-04-2024,23,16,7,0,0.6956521739130435,WH-01
SO20150,CUST-001,Customer X,MN-5544,10-02-2025,13-02-2025,13-02-2025,14,9,5,0,0.6428571428571429,WH-01
SO20151,CUST-003,Customer Z,BR-2208,12-10-2025,14-10-2025,13-10-2025,23,19,4,0,0.8260869565217391,WH-03
SO20152,CUST-003,Customer Z,BR-2208,16-11-2024,19-11-2024,20-11-2024,11,9,2,0,0.8181818181818182,WH-03
SO20153,CUST-002,Customer Y,BR-2208,02-07-2024,05-07-2024,07-07-2024,28,27,1,0,0.9642857142857144,WH-03
SO20154,CUST-003,Customer Z,ZX-9910,31-07-2024,01-08-2024,02-08-2024,10,5,5,0,0.5,WH-01
SO20155,CUST-003,Customer Z,ZX-9910,29-01-2026,30-01-2026,01-02-2026,31,27,4,0,0.8709677419354839,WH-01
SO20156,CUST-002,Customer Y,BR-2208,02-03-2025,03-03-2025,02-03-2025,11,3,8,0,0.2727272727272727,WH-03
SO20157,CUST-003,Customer Z,AX-4312,10-02-2026,13-02-2026,13-02-2026,17,8,9,0,0.4705882352941176,WH-01
SO20158,CUST-002,Customer Y,AX-4312,09-11-2024,11-11-2024,13-11-2024,28,20,8,0,0.7142857142857143,WH-02
SO20159,CUST-002,Customer Y,AX-4312,12-03-2025,14-03-2025,16-03-2025,22,22,0,0,1,WH-02
SO20160,CUST-003,Customer Z,ZX-9910,15-11-2024,16-11-2024,17-11-2024,14,6,8,0,0.4285714285714285,WH-01
SO20161,CUST-002,Customer Y,BR-2208,15-03-2024,18-03-2024,19-03-2024,32,24,8,0,0.75,WH-03
SO20162,CUST-001,Customer X,MN-5544,17-06-2025,20-06-2025,20-06-2025,18,9,9,0,0.5,WH-01
SO20163,CUST-001,Customer X,ZX-9910,02-10-2024,03-10-2024,04-10-2024,6,0,6,0,0,WH-01
SO20164,CUST-002,Customer Y,MN-5544,29-01-2025,31-01-2025,02-02-2025,11,8,3,0,0.7272727272727273,WH-01
SO20165,CUST-002,Customer Y,MN-5544,30-05-2025,01-06-2025,03-06-2025,31,27,4,0,0.8709677419354839,WH-01
SO20166,CUST-002,Customer Y,ZX-9910,20-06-2025,22-06-2025,22-06-2025,31,25,6,0,0.8064516129032258,WH-01
SO20167,CUST-001,Customer X,MN-5544,27-04-2025,30-04-2025,01-05-2025,30,30,0,0,1,WH-01
SO20168,CUST-001,Customer X,BR-2208,22-07-2025,26-07-2025,28-07-2025,33,25,8,0,0.7575757575757576,WH-03
SO20169,CUST-003,Customer Z,CL-7781,03-06-2024,04-06-2024,05-06-2024,26,17,9,0,0.6538461538461539,WH-01
SO20170,CUST-003,Customer Z,ZX-9910,14-02-2025,17-02-2025,17-02-2025,21,18,3,0,0.8571428571428571,WH-01
SO20171,CUST-002,Customer Y,MN-5544,17-10-2025,21-10-2025,22-10-2025,30,26,4,0,0.8666666666666667,WH-01
SO20172,CUST-002,Customer Y,MN-5544,01-11-2025,02-11-2025,01-11-2025,15,10,5,0,0.6666666666666666,WH-01
SO20173,CUST-002,Customer Y,CL-7781,10-02-2026,11-02-2026,11-02-2026,10,5,5,0,0.5,WH-01
SO20174,CUST-001,Customer X,AX-4312,01-04-2025,05-04-2025,06-04-2025,26,22,4,0,0.8461538461538461,WH-01
SO20175,CUST-002,Customer Y,BR-2208,02-11-2024,05-11-2024,06-11-2024,18,9,9,0,0.5,WH-03
SO20176,CUST-001,Customer X,BR-2208,06-03-2025,07-03-2025,07-03-2025,36,35,1,0,0.9722222222222222,WH-03
SO20177,CUST-002,Customer Y,ZX-9910,16-08-2024,20-08-2024,21-08-2024,14,13,1,0,0.9285714285714286,WH-01
SO20178,CUST-002,Customer Y,AX-4312,17-02-2025,18-02-2025,18-02-2025,25,25,0,1,1,WH-02
SO20179,CUST-003,Customer Z,ZX-9910,20-05-2024,21-05-2024,22-05-2024,37,32,5,0,0.8648648648648649,WH-02
SO20180,CUST-001,Customer X,CL-7781,25-04-2025,26-04-2025,26-04-2025,17,17,0,1,1,WH-01
SO20181,CUST-002,Customer Y,AX-4312,09-05-2025,10-05-2025,11-05-2025,34,26,8,0,0.7647058823529411,WH-01
SO20182,CUST-002,Customer Y,CL-7781,24-05-2025,25-05-2025,27-05-2025,12,12,0,0,1,WH-01
SO20183,CUST-001,Customer X,BR-2208,01-10-2024,04-10-2024,06-10-2024,5,1,4,0,0.2,WH-03
SO20184,CUST-001,Customer X,BR-2208,25-08-2024,29-08-2024,31-08-2024,10,2,8,0,0.2,WH-03
SO20185,CUST-002,Customer Y,ZX-9910,26-09-2024,27-09-2024,26-09-2024,5,0,5,0,0,WH-01
SO20186,CUST-002,Customer Y,MN-5544,28-06-2025,30-06-2025,01-07-2025,23,22,1,0,0.9565217391304348,WH-01
SO20187,CUST-001,Customer X,AX-4312,29-08-2024,31-08-2024,30-08-2024,21,18,3,0,0.8571428571428571,WH-01
SO20188,CUST-003,Customer Z,BR-2208,09-07-2025,10-07-2025,09-07-2025,16,13,3,0,0.8125,WH-03
SO20189,CUST-001,Customer X,AX-4312,07-04-2025,09-04-2025,10-04-2025,8,8,0,0,1,WH-01
SO20190,CUST-001,Customer X,MN-5544,24-07-2024,26-07-2024,25-07-2024,19,19,0,1,1,WH-01
SO20191,CUST-003,Customer Z,MN-5544,02-09-2024,06-09-2024,07-09-2024,24,19,5,0,0.7916666666666666,WH-01
SO20192,CUST-003,Customer Z,CL-7781,06-07-2024,10-07-2024,09-07-2024,20,19,1,0,0.95,WH-01
SO20193,CUST-001,Customer X,ZX-9910,26-10-2025,27-10-2025,29-10-2025,28,20,8,0,0.7142857142857143,WH-01
SO20194,CUST-003,Customer Z,AX-4312,22-05-2024,24-05-2024,26-05-2024,21,13,8,0,0.6190476190476191,WH-01
SO20195,CUST-001,Customer X,BR-2208,22-04-2024,26-04-2024,25-04-2024,19,17,2,0,0.8947368421052632,WH-03
SO20196,CUST-001,Customer X,AX-4312,06-01-2026,09-01-2026,09-01-2026,14,5,9,0,0.3571428571428571,WH-01
SO20197,CUST-003,Customer Z,ZX-9910,04-02-2025,07-02-2025,08-02-2025,16,8,8,0,0.5,WH-01
SO20198,CUST-001,Customer X,BR-2208,23-10-2025,26-10-2025,25-10-2025,39,35,4,0,0.8974358974358975,WH-03
SO20199,CUST-001,Customer X,AX-4312,10-07-2025,11-07-2025,11-07-2025,25,16,9,0,0.64,WH-01
SO20200,CUST-003,Customer Z,ZX-9910,17-04-2024,21-04-2024,22-04-2024,8,5,3,0,0.625,WH-01
SO20201,CUST-003,Customer Z,BR-2208,06-11-2025,09-11-2025,08-11-2025,35,32,3,0,0.9142857142857144,WH-03
SO20202,CUST-003,Customer Z,ZX-9910,29-08-2024,02-09-2024,02-09-2024,21,19,2,0,0.9047619047619048,WH-01
SO20203,CUST-001,Customer X,ZX-9910,14-07-2025,15-07-2025,15-07-2025,26,22,4,0,0.8461538461538461,WH-01
SO20204,CUST-002,Customer Y,CL-7781,16-04-2025,19-04-2025,21-04-2025,31,27,4,0,0.8709677419354839,WH-01
SO20205,CUST-002,Customer Y,AX-4312,01-05-2024,03-05-2024,02-05-2024,39,36,3,0,0.9230769230769232,WH-01
SO20206,CUST-002,Customer Y,MN-5544,14-04-2024,18-04-2024,20-04-2024,25,16,9,0,0.64,WH-01
SO20207,CUST-001,Customer X,MN-5544,13-06-2025,14-06-2025,16-06-2025,23,14,9,0,0.6086956521739131,WH-01
SO20208,CUST-001,Customer X,AX-4312,14-06-2024,15-06-2024,14-06-2024,30,25,5,0,0.8333333333333334,WH-01
SO20209,CUST-001,Customer X,BR-2208,17-04-2024,20-04-2024,20-04-2024,32,32,0,1,1,WH-03
SO20210,CUST-003,Customer Z,MN-5544,23-01-2025,27-01-2025,29-01-2025,6,6,0,0,1,WH-01
SO20211,CUST-003,Customer Z,MN-5544,15-04-2025,19-04-2025,19-04-2025,25,17,8,0,0.68,WH-01
SO20212,CUST-003,Customer Z,ZX-9910,03-12-2025,04-12-2025,05-12-2025,20,19,1,0,0.95,WH-01
SO20213,CUST-002,Customer Y,AX-4312,05-11-2024,07-11-2024,09-11-2024,12,3,9,0,0.25,WH-01
SO20214,CUST-003,Customer Z,ZX-9910,13-06-2024,14-06-2024,13-06-2024,21,15,6,0,0.7142857142857143,WH-01
SO20215,CUST-002,Customer Y,AX-4312,27-03-2024,31-03-2024,01-04-2024,34,31,3,0,0.9117647058823528,WH-01
SO20216,CUST-003,Customer Z,BR-2208,13-03-2025,14-03-2025,15-03-2025,11,3,8,0,0.2727272727272727,WH-03
