po_number,supplier_id,supplier_name,part_number,expected_date,received_date,qty_ordered,qty_received,inbound_lead_time_days,discrepancy_qty,warehouse_id
PO10037,SUP-001,Supplier A,MN-5544,2025-10-16T00:00:00Z,2025-10-24T00:00:00Z,263,237,8,26,WH-01
PO10038,SUP-001,Supplier A,ZX-9910,2025-06-08T00:00:00Z,2025-06-11T00:00:00Z,276,240,3,36,WH-01
PO10039,SUP-002,Supplier B,AX-4312,2025-02-20T00:00:00Z,2025-02-23T00:00:00Z,306,302,3,4,WH-01
PO10040,SUP-001,Supplier A,MN-5544,2025-07-17T00:00:00Z,2025-07-27T00:00:00Z,304,291,10,13,WH-01
PO10041,SUP-003,Supplier C,CL-7781,2025-02-19T00:00:00Z,2025-02-26T00:00:00Z,332,324,7,8,WH-01
PO10042,SUP-003,Supplier C,BR-2208,2026-01-01T00:00:00Z,2026-01-11T00:00:00Z,91,79,10,12,WH-03
PO10043,SUP-001,Supplier A,MN-5544,2025-05-04T00:00:00Z,2025-05-07T00:00:00Z,112,81,3,31,WH-01
PO10044,SUP-002,Supplier B,CL-7781,2026-01-02T00:00:00Z,2026-01-09T00:00:00Z,290,259,7,31,WH-01
PO10045,SUP-002,Supplier B,CL-7781,2024-08-04T00:00:00Z,2024-08-08T00:00:00Z,271,235,4,36,WH-01
PO10046,SUP-001,Supplier A,AX-4312,2024-04-29T00:00:00Z,2024-05-06T00:00:00Z,280,266,7,14,WH-01
PO10047,SUP-003,Supplier C,BR-2208,2025-10-26T00:00:00Z,2025-11-06T00:00:00Z,78,43,11,35,WH-03
PO10048,SUP-001,Supplier A,ZX-9910,2024-09-10T00:00:00Z,2024-09-17T00:00:00Z,236,215,7,21,WH-01
PO10049,SUP-001,Supplier A,CL-7781,2024-08-13T00:00:00Z,2024-08-15T00:00:00Z,219,214,2,5,WH-01
PO10050,SUP-001,Supplier A,CL-7781,2024-11-14T00:00:00Z,2024-11-18T00:00:00Z,335,325,4,10,WH-01
PO10051,SUP-003,Supplier C,CL-7781,2024-07-01T00:00:00Z,2024-07-11T00:00:00Z,397,373,10,24,WH-01
PO10052,SUP-001,Supplier A,CL-7781,2024-06-14T00:00:00Z,2024-06-21T00:00:00Z,239,207,7,32,WH-01
PO10053,SUP-003,Supplier C,MN-5544,2025-11-21T00:00:00Z,2025-11-22T00:00:00Z,332,320,1,12,WH-01
PO10054,SUP-003,Supplier C,AX-4312,2025-07-03T00:00:00Z,2025-07-12T00:00:00Z,308,270,9,38,WH-01
PO10055,SUP-003,Supplier C,MN-5544,2024-11-16T00:00:00Z,2024-11-22T00:00:00Z,186,150,6,36,WH-01
PO10056,SUP-002,Supplier B,BR-2208,2024-10-23T00:00:00Z,2024-10-24T00:00:00Z,356,333,1,23,WH-03
PO10057,SUP-003,Supplier C,CL-7781,2024-08-22T00:00:00Z,2024-09-02T00:00:00Z,209,178,11,31,WH-01
PO10058,SUP-003,Supplier C,CL-7781,2024-04-03T00:00:00Z,2024-04-11T00:00:00Z,282,271,8,11,WH-01
PO10059,SUP-003,Supplier C,AX-4312,2024-08-27T00:00:00Z,2024-09-03T00:00:00Z,162,126,7,36,WH-01
PO10060,SUP-002,Supplier B,CL-7781,2024-10-21T00:00:00Z,2024-10-22T00:00:00Z,130,129,1,1,WH-01
PO10061,SUP-001,Supplier A,BR-2208,2025-03-07T00:00:00Z,2025-03-09T00:00:00Z,269,247,2,22,WH-03
PO10062,SUP-001,Supplier A,AX-4312,2025-03-27T00:00:00Z,2025-04-01T00:00:00Z,273,241,5,32,WH-01
PO10063,SUP-003,Supplier C,AX-4312,2024-09-13T00:00:00Z,2024-09-14T00:00:00Z,175,174,1,1,WH-01
PO10064,SUP-001,Supplier A,AX-4312,2025-06-18T00:00:00Z,2025-06-23T00:00:00Z,221,196,5,25,WH-01
PO10065,SUP-001,Supplier A,CL-7781,2025-06-07T00:00:00Z,2025-06-13T00:00:00Z,296,293,6,3,WH-01
PO10066,SUP-001,Supplier A,CL-7781,2025-06-29T00:00:00Z,2025-07-06T00:00:00Z,252,236,7,16,WH-01
PO10067,SUP-002,Supplier B,CL-7781,2024-10-09T00:00:00Z,2024-10-15T00:00:00Z,329,325,6,4,WH-01
PO10068,SUP-002,Supplier B,CL-7781,2025-08-13T00:00:00Z,2025-08-17T00:00:00Z,147,142,4,5,WH-01
PO10069,SUP-003,Supplier C,CL-7781,2024-06-07T00:00:00Z,2024-06-13T00:00:00Z,289,274,6,15,WH-01
PO10070,SUP-003,Supplier C,ZX-9910,2025-05-13T00:00:00Z,2025-05-14T00:00:00Z,250,245,1,5,WH-01
PO10071,SUP-003,Supplier C,MN-5544,2024-09-18T00:00:00Z,2024-09-21T00:00:00Z,197,162,3,35,WH-01
PO10072,SUP-003,Supplier C,ZX-9910,2024-08-08T00:00:00Z,2024-08-11T00:00:00Z,395,393,3,2,WH-01
PO10073,SUP-003,Supplier C,AX-4312,2024-03-31T00:00:00Z,2024-04-03T00:00:00Z,197,166,3,31,WH-01
PO10074,SUP-001,Supplier A,AX-4312,2024-09-24T00:00:00Z,2024-10-01T00:00:00Z,357,325,7,32,WH-01
PO10075,SUP-002,Supplier B,CL-7781,2025-08-06T00:00:00Z,2025-08-14T00:00:00Z,177,139,8,38,WH-01
PO10076,SUP-001,Supplier A,BR-2208,2024-06-14T00:00:00Z,2024-06-16T00:00:00Z,178,168,2,10,WH-03
PO10077,SUP-003,Supplier C,AX-4312,2025-07-11T00:00:00Z,2025-07-20T00:00:00Z,200,170,9,30,WH-01
PO10078,SUP-003,Supplier C,MN-5544,2024-09-02T00:00:00Z,2024-09-12T00:00:00Z,148,142,10,6,WH-01
PO10079,SUP-003,Supplier C,MN-5544,2025-02-13T00:00:00Z,2025-02-23T00:00:00Z,161,160,10,1,WH-01
PO10080,SUP-003,Supplier C,AX-4312,2025-11-11T00:00:00Z,2025-11-12T00:00:00Z,353,342,1,11,WH-01
PO10081,SUP-001,Supplier A,CL-7781,2025-03-09T00:00:00Z,2025-03-14T00:00:00Z,86,55,5,31,WH-01
PO10082,SUP-002,Supplier B,CL-7781,2025-08-28T00:00:00Z,2025-09-08T00:00:00Z,58,24,11,34,WH-01
PO10083,SUP-001,Supplier A,MN-5544,2025-09-25T00:00:00Z,2025-09-28T00:00:00Z,353,338,3,15,WH-01
PO10084,SUP-003,Supplier C,MN-5544,2024-07-14T00:00:00Z,2024-07-17T00:00:00Z,201,169,3,32,WH-01
PO10085,SUP-001,Supplier A,BR-2208,2025-12-25T00:00:00Z,2026-01-02T00:00:00Z,165,155,8,10,WH-03
PO10086,SUP-001,Supplier A,MN-5544,2025-03-31T00:00:00Z,2025-04-01T00:00:00Z,153,134,1,19,WH-01
PO10087,SUP-003,Supplier C,MN-5544,2026-01-19T00:00:00Z,2026-01-22T00:00:00Z,161,137,3,24,WH-01
PO10088,SUP-002,Supplier B,BR-2208,2025-08-04T00:00:00Z,2025-08-07T00:00:00Z,202,174,3,28,WH-03
PO10089,SUP-003,Supplier C,MN-5544,2025-12-02T00:00:00Z,2025-12-04T00:00:00Z,387,386,2,1,WH-01
PO10090,SUP-003,Supplier C,BR-2208,2025-09-02T00:00:00Z,2025-09-08T00:00:00Z,212,197,6,15,WH-03
PO10091,SUP-003,Supplier C,CL-7781,2024-10-07T00:00:00Z,2024-10-16T00:00:00Z,210,207,9,3,WH-01
PO10092,SUP-003,Supplier C,BR-2208,2025-05-13T00:00:00Z,2025-05-14T00:00:00Z,326,307,1,19,WH-03
PO10093,SUP-002,Supplier B,MN-5544,2024-09-21T00:00:00Z,2024-09-29T00:00:00Z,184,182,8,2,WH-01
PO10094,SUP-002,Supplier B,CL-7781,2026-02-28T00:00:00Z,2026-03-01T00:00:00Z,177,145,1,32,WH-01
PO10095,SUP-003,Supplier C,ZX-9910,2025-07-03T00:00:00Z,2025-07-14T00:00:00Z,71,42,11,29,WH-01
PO10096,SUP-001,Supplier A,CL-7781,2024-10-13T00:00:00Z,2024-10-19T00:00:00Z,279,272,6,7,WH-01
PO10097,SUP-001,Supplier A,BR-2208,2025-08-21T00:00:00Z,2025-09-01T00:00:00Z,76,43,11,33,WH-03
PO10098,SUP-002,Supplier B,ZX-9910,2024-06-13T00:00:00Z,2024-06-18T00:00:00Z,335,303,5,32,WH-01
PO10099,SUP-001,Supplier A,CL-7781,2025-05-26T00:00:00Z,2025-05-27T00:00:00Z,366,348,1,18,WH-01
PO10100,SUP-003,Supplier C,ZX-9910,2025-03-24T00:00:00Z,2025-03-28T00:00:00Z,84,68,4,16,WH-01
PO10101,SUP-002,Supplier B,ZX-9910,2025-11-12T00:00:00Z,2025-11-17T00:00:00Z,55,21,5,34,WH-01
PO10102,SUP-001,Supplier A,AX-4312,2024-10-10T00:00:00Z,2024-10-19T00:00:00Z,86,63,9,23,WH-01
PO10103,SUP-001,Supplier A,CL-7781,2024-12-12T00:00:00Z,2024-12-13T00:00:00Z,351,321,1,30,WH-01
PO10104,SUP-001,Supplier A,ZX-9910,2024-09-23T00:00:00Z,2024-09-26T00:00:00Z,237,205,3,32,WH-01
PO10105,SUP-003,Supplier C,ZX-9910,2025-10-21T00:00:00Z,2025-10-25T00:00:00Z,240,220,4,20,WH-01
PO10106,SUP-003,Supplier C,ZX-9910,2025-10-09T00:00:00Z,2025-10-16T00:00:00Z,210,208,7,2,WH-01
PO10107,SUP-003,Supplier C,MN-5544,2025-04-08T00:00:00Z,2025-04-10T00:00:00Z,330,300,2,30,WH-01
PO10108,SUP-002,Supplier B,AX-4312,2025-07-06T00:00:00Z,2025-07-12T00:00:00Z,107,105,6,2,WH-01
PO10109,SUP-002,Supplier B,MN-5544,2025-02-23T00:00:00Z,2025-03-03T00:00:00Z,223,200,8,23,WH-01
PO10110,SUP-002,Supplier B,MN-5544,2024-07-29T00:00:00Z,2024-07-31T00:00:00Z,337,316,2,21,WH-01
PO10111,SUP-002,Supplier B,BR-2208,2025-02-24T00:00:00Z,2025-03-03T00:00:00Z,176,150,7,26,WH-03
PO10112,SUP-002,Supplier B,AX-4312,2025-04-23T00:00:00Z,2025-05-03T00:00:00Z,322,283,10,39,WH-01
PO10113,SUP-002,Supplier B,BR-2208,2024-03-12T00:00:00Z,2024-03-13T00:00:00Z,348,310,1,38,WH-03
PO10114,SUP-001,Supplier A,BR-2208,2024-08-07T00:00:00Z,2024-08-17T00:00:00Z,296,271,10,25,WH-03
PO10115,SUP-001,Supplier A,ZX-9910,2025-03-13T00:00:00Z,2025-03-16T00:00:00Z,355,331,3,24,WH-01
PO10116,SUP-001,Supplier A,MN-5544,2025-01-16T00:00:00Z,2025-01-24T00:00:00Z,62,56,8,6,WH-01
PO10117,SUP-001,Supplier A,MN-5544,2025-01-16T00:00:00Z,2025-01-25T00:00:00Z,85,66,9,19,WH-01
PO10118,SUP-001,Supplier A,ZX-9910,2024-06-30T00:00:00Z,2024-07-01T00:00:00Z,313,298,1,15,WH-01
PO10119,SUP-001,Supplier A,MN-5544,2025-11-02T00:00:00Z,2025-11-05T00:00:00Z,192,165,3,27,WH-01
PO10120,SUP-002,Supplier B,ZX-9910,2025-09-11T00:00:00Z,2025-09-13T00:00:00Z,371,340,2,31,WH-01
PO10121,SUP-001,Supplier A,ZX-9910,2025-07-26T00:00:00Z,2025-08-02T00:00:00Z,391,367,7,24,WH-01
PO10122,SUP-003,Supplier C,AX-4312,2024-04-07T00:00:00Z,2024-04-17T00:00:00Z,112,91,10,21,WH-01
PO10123,SUP-001,Supplier A,AX-4312,2024-10-17T00:00:00Z,2024-10-27T00:00:00Z,107,86,10,21,WH-01
PO10124,SUP-002,Supplier B,AX-4312,2026-02-13T00:00:00Z,2026-02-14T00:00:00Z,229,224,1,5,WH-01
PO10125,SUP-003,Supplier C,ZX-9910,2024-05-23T00:00:00Z,2024-05-29T00:00:00Z,150,118,6,32,WH-01
PO10126,SUP-001,Supplier A,MN-5544,2024-11-29T00:00:00Z,2024-12-07T00:00:00Z,102,98,8,4,WH-01
PO10127,SUP-001,Supplier A,CL-7781,2025-08-12T00:00:00Z,2025-08-19T00:00:00Z,245,240,7,5,WH-01
PO10128,SUP-001,Supplier A,ZX-9910,2024-06-19T00:00:00Z,2024-06-23T00:00:00Z,399,365,4,34,WH-01
PO10129,SUP-001,Supplier A,ZX-9910,2024-08-04T00:00:00Z,2024-08-11T00:00:00Z,357,342,7,15,WH-01
PO10130,SUP-003,Supplier C,BR-2208,2025-06-03T00:00:00Z,2025-06-05T00:00:00Z,173,144,2,29,WH-03
PO10131,SUP-001,Supplier A,MN-5544,2024-03-13T00:00:00Z,2024-03-16T00:00:00Z,194,176,3,18,WH-01
PO10132,SUP-001,Supplier A,BR-2208,2025-11-03T00:00:00Z,2025-11-13T00:00:00Z,395,359,10,36,WH-03
PO10133,SUP-002,Supplier B,MN-5544,2025-08-26T00:00:00Z,2025-09-05T00:00:00Z,166,144,10,22,WH-01
PO10134,SUP-001,Supplier A,MN-5544,2024-06-04T00:00:00Z,2024-06-13T00:00:00Z,178,178,9,0,WH-01
PO10135,SUP-003,Supplier C,MN-5544,2024-12-29T00:00:00Z,2024-12-31T00:00:00Z,145,121,2,24,WH-01
PO10136,SUP-003,Supplier C,ZX-9910,2026-01-22T00:00:00Z,2026-01-30T00:00:00Z,286,286,8,0,WH-01
PO10137,SUP-003,Supplier C,AX-4312,2026-02-20T00:00:00Z,2026-02-27T00:00:00Z,241,237,7,4,WH-01
PO10138,SUP-002,Supplier B,AX-4312,2024-11-08T00:00:00Z,2024-11-14T00:00:00Z,398,396,6,2,WH-01
PO10139,SUP-003,Supplier C,AX-4312,2025-07-06T00:00:00Z,2025-07-16T00:00:00Z,193,157,10,36,WH-01
PO10140,SUP-002,Supplier B,ZX-9910,2025-01-28T00:00:00Z,2025-02-03T00:00:00Z,234,206,6,28,WH-01
PO10141,SUP-002,Supplier B,ZX-9910,2024-06-06T00:00:00Z,2024-06-11T00:00:00Z,96,67,5,29,WH-01
PO10142,SUP-003,Supplier C,CL-7781,2024-09-12T00:00:00Z,2024-09-16T00:00:00Z,253,238,4,15,WH-01
PO10143,SUP-001,Supplier A,AX-4312,2024-06-23T00:00:00Z,2024-07-03T00:00:00Z,390,352,10,38,WH-01
PO10144,SUP-001,Supplier A,ZX-9910,2025-03-27T00:00:00Z,2025-03-31T00:00:00Z,338,309,4,29,WH-01
PO10145,SUP-003,Supplier C,ZX-9910,2025-12-20T00:00:00Z,2025-12-25T00:00:00Z,72,63,5,9,WH-01
PO10146,SUP-002,Supplier B,AX-4312,2024-07-09T00:00:00Z,2024-07-15T00:00:00Z,374,339,6,35,WH-01
PO10147,SUP-003,Supplier C,BR-2208,2025-02-25T00:00:00Z,2025-02-27T00:00:00Z,229,199,2,30,WH-03
PO10148,SUP-002,Supplier B,CL-7781,2025-01-10T00:00:00Z,2025-01-20T00:00:00Z,299,281,10,18,WH-01
PO10149,SUP-003,Supplier C,CL-7781,2024-07-24T00:00:00Z,2024-08-03T00:00:00Z,145,145,10,0,WH-01
PO10150,SUP-001,Supplier A,AX-4312,2025-05-10T00:00:00Z,2025-05-18T00:00:00Z,374,371,8,3,WH-01
PO10151,SUP-001,Supplier A,AX-4312,2025-04-22T00:00:00Z,2025-04-30T00:00:00Z,385,384,8,1,WH-01
PO10152,SUP-001,Supplier A,CL-7781,2024-07-20T00:00:00Z,2024-07-21T00:00:00Z,209,183,1,26,WH-01
PO10153,SUP-003,Supplier C,AX-4312,2025-02-27T00:00:00Z,2025-03-03T00:00:00Z,201,190,4,11,WH-01
PO10154,SUP-002,Supplier B,AX-4312,2024-10-02T00:00:00Z,2024-10-04T00:00:00Z,212,180,2,32,WH-01
PO10155,SUP-002,Supplier B,CL-7781,2024-03-28T00:00:00Z,2024-03-29T00:00:00Z,228,192,1,36,WH-01
PO10156,SUP-002,Supplier B,AX-4312,2024-04-10T00:00:00Z,2024-04-13T00:00:00Z,114,82,3,32,WH-01
PO10157,SUP-001,Supplier A,CL-7781,2024-10-05T00:00:00Z,2024-10-13T00:00:00Z,379,351,8,28,WH-01
PO10158,SUP-002,Supplier B,AX-4312,2025-12-26T00:00:00Z,2025-12-28T00:00:00Z,302,268,2,34,WH-01
PO10159,SUP-002,Supplier B,BR-2208,2025-11-26T00:00:00Z,2025-12-03T00:00:00Z,386,361,7,25,WH-03
PO10160,SUP-002,Supplier B,AX-4312,2024-10-26T00:00:00Z,2024-11-03T00:00:00Z,142,117,8,25,WH-01
PO10161,SUP-003,Supplier C,CL-7781,2024-07-16T00:00:00Z,2024-07-26T00:00:00Z,139,106,10,33,WH-01
PO10162,SUP-001,Supplier A,AX-4312,2025-01-09T00:00:00Z,2025-01-12T00:00:00Z,154,148,3,6,WH-01
PO10163,SUP-002,Supplier B,AX-4312,2025-01-22T00:00:00Z,2025-01-26T00:00:00Z,363,353,4,10,WH-01
PO10164,SUP-003,Supplier C,BR-2208,2025-06-03T00:00:00Z,2025-06-11T00:00:00Z,266,246,8,20,WH-03
PO10165,SUP-002,Supplier B,MN-5544,2025-02-04T00:00:00Z,2025-02-13T00:00:00Z,213,204,9,9,WH-01
PO10166,SUP-002,Supplier B,ZX-9910,2024-03-07T00:00:00Z,2024-03-12T00:00:00Z,241,207,5,34,WH-01
PO10167,SUP-002,Supplier B,CL-7781,2025-11-08T00:00:00Z,2025-11-09T00:00:00Z,148,113,1,35,WH-01
PO10168,SUP-001,Supplier A,AX-4312,2024-10-21T00:00:00Z,2024-10-23T00:00:00Z,145,122,2,23,WH-01
PO10169,SUP-003,Supplier C,BR-2208,2025-04-03T00:00:00Z,2025-04-10T00:00:00Z,239,208,7,31,WH-03
PO10170,SUP-001,Supplier A,AX-4312,2024-09-28T00:00:00Z,2024-10-03T00:00:00Z,317,305,5,12,WH-01
PO10171,SUP-003,Supplier C,CL-7781,2026-02-11T00:00:00Z,2026-02-18T00:00:00Z,266,232,7,34,WH-01
PO10172,SUP-003,Supplier C,CL-7781,2024-12-04T00:00:00Z,2024-12-13T00:00:00Z,335,319,9,16,WH-01
PO10173,SUP-003,Supplier C,AX-4312,2024-05-15T00:00:00Z,2024-05-16T00:00:00Z,111,92,1,19,WH-01
PO10174,SUP-001,Supplier A,BR-2208,2026-01-15T00:00:00Z,2026-01-24T00:00:00Z,391,379,9,12,WH-03
PO10175,SUP-001,Supplier A,AX-4312,2025-01-21T00:00:00Z,2025-02-01T00:00:00Z,68,33,11,35,WH-01
PO10176,SUP-001,Supplier A,CL-7781,2024-04-11T00:00:00Z,2024-04-20T00:00:00Z,125,117,9,8,WH-01
PO10177,SUP-001,Supplier A,CL-7781,2024-11-21T00:00:00Z,2024-11-28T00:00:00Z,333,320,7,13,WH-01
PO10178,SUP-003,Supplier C,BR-2208,2025-01-21T00:00:00Z,2025-01-25T00:00:00Z,388,373,4,15,WH-03
PO10179,SUP-003,Supplier C,MN-5544,2025-05-25T00:00:00Z,2025-05-30T00:00:00Z,118,84,5,34,WH-01
PO10180,SUP-002,Supplier B,CL-7781,2025-11-23T00:00:00Z,2025-12-02T00:00:00Z,102,80,9,22,WH-01
PO10181,SUP-001,Supplier A,ZX-9910,2025-01-27T00:00:00Z,2025-02-05T00:00:00Z,88,50,9,38,WH-01
PO10182,SUP-003,Supplier C,ZX-9910,2024-12-19T00:00:00Z,2024-12-29T00:00:00Z,182,148,10,34,WH-01
PO10183,SUP-002,Supplier B,CL-7781,2024-12-20T00:00:00Z,2024-12-27T00:00:00Z,270,260,7,10,WH-01
PO10184,SUP-002,Supplier B,BR-2208,2026-01-23T00:00:00Z,2026-01-25T00:00:00Z,288,277,2,11,WH-03
PO10185,SUP-001,Supplier A,ZX-9910,2024-06-17T00:00:00Z,2024-06-26T00:00:00Z,123,107,9,16,WH-01
PO10186,SUP-002,Supplier B,MN-5544,2024-11-28T00:00:00Z,2024-12-04T00:00:00Z,56,44,6,12,WH-01
PO10187,SUP-002,Supplier B,BR-2208,2024-04-24T00:00:00Z,2024-05-02T00:00:00Z,219,211,8,8,WH-03
PO10188,SUP-002,Supplier B,CL-7781,2024-08-06T00:00:00Z,2024-08-08T00:00:00Z,332,331,2,1,WH-01
PO10189,SUP-003,Supplier C,BR-2208,2025-03-04T00:00:00Z,2025-03-09T00:00:00Z,78,42,5,36,WH-03
PO10190,SUP-002,Supplier B,CL-7781,2024-10-01T00:00:00Z,2024-10-07T00:00:00Z,388,381,6,7,WH-01
PO10191,SUP-002,Supplier B,CL-7781,2024-12-01T00:00:00Z,2024-12-02T00:00:00Z,391,375,1,16,WH-01
PO10192,SUP-001,Supplier A,MN-5544,2025-05-07T00:00:00Z,2025-05-14T00:00:00Z,266,263,7,3,WH-01
PO10193,SUP-002,Supplier B,ZX-9910,2025-04-02T00:00:00Z,2025-04-06T00:00:00Z,119,89,4,30,WH-01
PO10194,SUP-002,Supplier B,AX-4312,2024-11-18T00:00:00Z,2024-11-21T00:00:00Z,231,193,3,38,WH-01
PO10195,SUP-001,Supplier A,CL-7781,2024-09-03T00:00:00Z,2024-09-14T00:00:00Z,251,226,11,25,WH-01
PO10196,SUP-001,Supplier A,MN-5544,2025-03-04T00:00:00Z,2025-03-07T00:00:00Z,88,86,3,2,WH-01
PO10197,SUP-002,Supplier B,ZX-9910,2024-06-15T00:00:00Z,2024-06-17T00:00:00Z,269,250,2,19,WH-01
PO10198,SUP-002,Supplier B,MN-5544,2025-10-31T00:00:00Z,2025-11-08T00:00:00Z,366,328,8,38,WH-01
PO10199,SUP-001,Supplier A,ZX-9910,2024-09-16T00:00:00Z,2024-09-17T00:00:00Z,397,373,1,24,WH-01
PO10200,SUP-003,Supplier C,BR-2208,2024-09-17T00:00:00Z,2024-09-25T00:00:00Z,166,161,8,5,WH-03
PO10201,SUP-002,Supplier B,MN-5544,2024-07-10T00:00:00Z,2024-07-20T00:00:00Z,93,62,10,31,WH-01
PO10202,SUP-001,Supplier A,ZX-9910,2025-11-11T00:00:00Z,2025-11-16T00:00:00Z,129,109,5,20,WH-01
PO10203,SUP-003,Supplier C,ZX-9910,2024-08-25T00:00:00Z,2024-09-05T00:00:00Z,301,265,11,36,WH-01
PO10204,SUP-001,Supplier A,MN-5544,2024-06-11T00:00:00Z,2024-06-15T00:00:00Z,276,258,4,18,WH-01
PO10205,SUP-003,Supplier C,ZX-9910,2024-06-01T00:00:00Z,2024-06-05T00:00:00Z,96,83,4,13,WH-01
PO10206,SUP-003,Supplier C,BR-2208,2025-04-05T00:00:00Z,2025-04-06T00:00:00Z,103,101,1,2,WH-03
PO10207,SUP-003,Supplier C,ZX-9910,2024-06-26T00:00:00Z,2024-07-03T00:00:00Z,61,52,7,9,WH-01
PO10208,SUP-001,Supplier A,BR-2208,2025-04-29T00:00:00Z,2025-05-07T00:00:00Z,205,198,8,7,WH-03
